"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","261","Delete company","chromium","2026-05-07","passed","2026-05-07","","API_login.spec.ts","",""
"","245","Fetch Department","chromium","2026-05-05","passed","2026-05-05","","API_Dept_management.spec.ts","",""
"","250","Company Management-Fetch company Test","chromium","2026-05-07","passed","2026-05-07","","API_login.spec.ts","",""
"","316","update company","chromium","2026-05-07","passed","2026-05-07","","API_login.spec.ts","",""
"","376","Update departMent","chromium","2026-05-05","passed","2026-05-05","","API_Dept_management.spec.ts","",""
"","601","Fetch Department from Company","chromium","2026-05-05","passed","2026-05-05","","API_Dept_management.spec.ts","",""
"","253","Company get all dropdowns","chromium","2026-05-07","passed","2026-05-07","","API_login.spec.ts","",""
"","273","Create departMent","chromium","2026-05-05","passed","2026-05-05","","API_Dept_management.spec.ts","",""
"","573","Company listing datatable","chromium","2026-05-07","passed","2026-05-07","","API_login.spec.ts","",""
"","344","Company Management-Add company Test","chromium","2026-05-07","passed","2026-05-07","","API_login.spec.ts","",""
"","267","Delete DepartMent","chromium","2026-05-05","passed","2026-05-05","","API_Dept_management.spec.ts","",""
